Q9P202.3,WHRN_HUMAN RecName: Full=Whirlin; AltName: Full=Autosomal recessive deafness type 31 protein,3.13045e-47
Q9NSN8.1,SNTG1_HUMAN RecName: Full=Gamma-1-syntrophin; Short=G1SYN; AltName: Full=Syntrophin-4; Short=SYN4,3.6078e-31
O75970.2,MPDZ_HUMAN RecName: Full=Multiple PDZ domain protein; AltName: Full=Multi-PDZ domain protein 1,9.71117e-169
Q9P202.3,WHRN_HUMAN RecName: Full=Whirlin; AltName: Full=Autosomal recessive deafness type 31 protein,3.52564e-73
Q9P202.3,WHRN_HUMAN RecName: Full=Whirlin; AltName: Full=Autosomal recessive deafness type 31 protein,0.0
Q9P202.3,WHRN_HUMAN RecName: Full=Whirlin; AltName: Full=Autosomal recessive deafness type 31 protein,2.02045e-124
Q9P202.3,WHRN_HUMAN RecName: Full=Whirlin; AltName: Full=Autosomal recessive deafness type 31 protein,1.42603e-45
Q9P202.3,WHRN_HUMAN RecName: Full=Whirlin; AltName: Full=Autosomal recessive deafness type 31 protein,4.35178e-122
Q92796.2,DLG3_HUMAN RecName: Full=Disks large homolog 3; AltName: Full=Neuroendocrine-DLG; AltName: Full=Synapse-associated protein 102; Short=SAP-102; Short=SAP102; AltName: Full=XLMR,7.2538e-166
Q9P202.3,WHRN_HUMAN RecName: Full=Whirlin; AltName: Full=Autosomal recessive deafness type 31 protein,4.00648e-58
Q9Y6N9.3,USH1C_HUMAN RecName: Full=Harmonin; AltName: Full=Antigen NY-CO-38/NY-CO-37; AltName: Full=Autoimmune enteropathy-related antigen AIE-75; AltName: Full=Protein PDZ-73; AltName: Full=Renal carcinoma antigen NY-REN-3; AltName: Full=Usher syndrome type-1C protein,6.79269e-61
Q9P202.3,WHRN_HUMAN RecName: Full=Whirlin; AltName: Full=Autosomal recessive deafness type 31 protein,6.09303e-148
