514698288,XP_004996713.1, laminin alpha 5 chain [Salpingoeca rosetta],1.92295e-129
514692317,XP_004993731.1, laminin alpha 5 chain [Salpingoeca rosetta],6.52979e-61
514683505,XP_004989334.1, hypothetical protein PTSG_12970 [Salpingoeca rosetta],3.99005e-49
470293655,XP_004343931.1, hypothetical protein CAOG_07207 [Capsaspora owczarzaki ATCC 30864],6.8629e-38
470308774,XP_004363905.1, hypothetical protein CAOG_03066 [Capsaspora owczarzaki ATCC 30864],1.46881e-34
470323444,XP_004349491.1, hypothetical protein CAOG_02741 [Capsaspora owczarzaki ATCC 30864],2.18663e-34
196003946,XP_002111840.1, hypothetical protein TRIADDRAFT_24524 [Trichoplax adhaerens],3.32505e-58
196008815,XP_002114273.1, hypothetical protein TRIADDRAFT_27868 [Trichoplax adhaerens],5.38009e-43
195999444,XP_002109590.1, hypothetical protein TRIADDRAFT_53774 [Trichoplax adhaerens],5.33987e-41
219842266,NP_996816.2, usherin isoform B precursor [Homo sapiens],0.0
219842259,NP_009054.5, usherin isoform A [Homo sapiens],0.0
578835999,XP_006723859.1, PREDICTED: laminin subunit alpha-5 isoform X1 [Homo sapiens],6.99067e-97
156400070,XP_001638823.1, predicted protein [Nematostella vectensis],0.0
156400072,XP_001638824.1, predicted protein [Nematostella vectensis],0.0
156400068,XP_001638822.1, predicted protein [Nematostella vectensis],4.07436e-131
828213499,XP_012559324.1, PREDICTED: usherin, partial [Hydra vulgaris],0.0
828232982,XP_012565642.1, PREDICTED: usherin, partial [Hydra vulgaris],0.0
828212348,XP_012558958.1, PREDICTED: laminin subunit alpha-3-like [Hydra vulgaris],1.66236e-100
780031693,XP_011666777.1, PREDICTED: usherin [Strongylocentrotus purpuratus],0.0
780163219,XP_011683410.1, PREDICTED: laminin subunit alpha [Strongylocentrotus purpuratus],8.90783e-106
390348792,XP_787259.3, PREDICTED: laminin subunit beta-1 [Strongylocentrotus purpuratus],1.24546e-60
808356958,NP_001294007.1, Uncharacterized protein CELE_K08C7.3 [Caenorhabditis elegans],9.10947e-100
71991177,NP_001023281.1, Uncharacterized protein CELE_K08C7.3 [Caenorhabditis elegans],1.03534e-99
808356960,NP_001294008.1, Uncharacterized protein CELE_K08C7.3 [Caenorhabditis elegans],1.07346e-99
17136292,NP_476617.1, laminin A [Drosophila melanogaster],2.03222e-91
17136294,NP_476618.1, LanB1, isoform A [Drosophila melanogaster] >gi,9.70916e-60
24584296,NP_723870.1, wing blister, isoform B [Drosophila melanogaster],1.64272e-59
961124388,XP_014783674.1, PREDICTED: laminin subunit alpha-like, partial [Octopus bimaculoides],2.03501e-90
961118223,XP_014781544.1, PREDICTED: laminin subunit beta-1-like [Octopus bimaculoides],3.21367e-64
961139209,XP_014788823.1, PREDICTED: laminin subunit gamma-1-like, partial [Octopus bimaculoides],4.5721e-50
1133461696,XP_011403870.2, PREDICTED: usherin-like [Amphimedon queenslandica],0.0
1133465961,XP_011404698.2, PREDICTED: uncharacterized protein LOC105313185 [Amphimedon queenslandica],1.28983e-56
1133456134,XP_019849782.1, PREDICTED: laminin subunit gamma-1-like [Amphimedon queenslandica],1.47047e-52
