514686224,XP_004990690.1, PRCDH1 protein [Salpingoeca rosetta],1.1276e-72
754345555,XP_011270174.1, hypothetical protein CAOG_08574 [Capsaspora owczarzaki ATCC 30864],1.69658e-07
196006169,XP_002112951.1, hypothetical protein TRIADDRAFT_25152 [Trichoplax adhaerens],1.17074e-80
1133449996,XP_011407489.2, PREDICTED: protocadherin Fat 4-like [Amphimedon queenslandica],8.12091e-79
115387123,NP_149045.3, protocadherin-15 isoform CD1-4 precursor [Homo sapiens],0.0
156398552,XP_001638252.1, predicted protein [Nematostella vectensis],5.1843e-84
828214001,XP_012559514.1, PREDICTED: protocadherin Fat 4-like [Hydra vulgaris],1.09964e-75
115666275,XP_785445.2, PREDICTED: protein dachsous [Strongylocentrotus purpuratus],3.73715e-84
193207741,NP_506256.3, FlaMIngo (cadherin plus 7TM domain) homolog [Caenorhabditis elegans],9.86783e-57
24651170,NP_733314.1, cadherin 99C, isoform A [Drosophila melanogaster] >gi,1.81068e-116
961100189,XP_014775136.1, PREDICTED: protein dachsous-like [Octopus bimaculoides],5.48045e-77
919007698,XP_013388719.1, PREDICTED: uncharacterized protein LOC106157571 [Lingula anatina],1.85958e-99
