514688979,XP_004992065.1, calcium and integrin-binding protein 2 [Salpingoeca rosetta],8.71137e-41
470321958,XP_004349136.1, DNA-dependent protein kinase catalytic subunit-interacting protein 2 [Capsaspora owczarzaki ATCC 30864],1.18149e-29
196008529,XP_002114130.1, hypothetical protein TRIADDRAFT_58279 [Trichoplax adhaerens],1.24386e-29
340374533,XP_003385792.1, PREDICTED: calcium and integrin-binding family member 2-like [Amphimedon queenslandica],1.28703e-37
428980593,NP_001258817.1, calcium and integrin-binding family member 2 isoform 2 [Homo sapiens] >gi,3.88444e-103
156402399,XP_001639578.1, predicted protein [Nematostella vectensis],1.68057e-41
449668625,XP_004206833.1, PREDICTED: calcineurin subunit B type 1-like [Hydra vulgaris] >gi,3.64821e-19
390358587,XP_003729293.1, PREDICTED: calcium and integrin-binding family member 2 isoform X1 [Strongylocentrotus purpuratus] >gi,7.17309e-35
392886714,NP_492514.2, CALMyrin (Calcium and Integrin Binding protein) homolog [Caenorhabditis elegans],1.21997e-41
386768369,NP_611523.3, calcium and integrin binding family member 2 [Drosophila melanogaster] >gi,2.76444e-53
961099808,XP_014775000.1, PREDICTED: calcium and integrin-binding family member 2-like [Octopus bimaculoides],1.65567e-49
919000998,XP_013406524.1, PREDICTED: calcium and integrin-binding family member 3-like [Lingula anatina],8.66112e-60
