gi:218505717,ref_number:NP_001136208.1,annotation: protocadherin-15 isoform CD1-4 precursor [Mus musculus],best_score:7949.0,evalue:0.0,length:1936
gi:218505715,ref_number:NP_001136207.1,annotation: protocadherin-15 isoform CD1-2 precursor [Mus musculus],best_score:7931.0,evalue:0.0,length:1938
gi:218505729,ref_number:NP_001136212.1,annotation: protocadherin-15 isoform CD1-7 precursor [Mus musculus],best_score:7918.0,evalue:0.0,length:1933
gi:111074522,ref_number:NP_075604.2,annotation: protocadherin-15 isoform CD1-1 precursor [Mus musculus],best_score:7916.0,evalue:0.0,length:1943
gi:218505727,ref_number:NP_001136211.1,annotation: protocadherin-15 isoform CD1-9 precursor [Mus musculus],best_score:7786.0,evalue:0.0,length:1916
gi:218505731,ref_number:NP_001136213.1,annotation: protocadherin-15 isoform CD1-10 precursor [Mus musculus],best_score:7752.0,evalue:0.0,length:1913
gi:218505724,ref_number:NP_001136210.1,annotation: protocadherin-15 isoform CD1-8 precursor [Mus musculus],best_score:7684.0,evalue:0.0,length:1896
gi:218505737,ref_number:NP_001136215.1,annotation: protocadherin-15 isoform CD2-2 precursor [Mus musculus],best_score:7153.0,evalue:0.0,length:1518
gi:218505773,ref_number:NP_001136232.1,annotation: protocadherin-15 isoform CD3-2 precursor [Mus musculus],best_score:7152.0,evalue:0.0,length:1677
gi:568966530,ref_number:XP_006513218.1,annotation: PREDICTED: protocadherin-15 isoform X2 [Mus musculus],best_score:7138.0,evalue:0.0,length:1680
gi:218505743,ref_number:NP_001136218.1,annotation: protocadherin-15 isoform CD3-1 precursor [Mus musculus],best_score:7137.0,evalue:0.0,length:1682
gi:1039732018,ref_number:XP_017169273.1,annotation: PREDICTED: protocadherin-15 isoform X1 [Mus musculus],best_score:7128.0,evalue:0.0,length:1722
gi:1039732022,ref_number:XP_017169274.1,annotation: PREDICTED: protocadherin-15 isoform X4 [Mus musculus],best_score:7125.0,evalue:0.0,length:1783
gi:568966532,ref_number:XP_006513219.1,annotation: PREDICTED: protocadherin-15 isoform X3 [Mus musculus],best_score:7106.0,evalue:0.0,length:1677
gi:218505733,ref_number:NP_001136214.1,annotation: protocadherin-15 isoform CD2-1 precursor [Mus musculus],best_score:7101.0,evalue:0.0,length:1790
gi:218505747,ref_number:NP_001136220.1,annotation: protocadherin-15 isoform SI-2 precursor [Mus musculus],best_score:5595.0,evalue:0.0,length:1171
gi:218505745,ref_number:NP_001136219.1,annotation: protocadherin-15 isoform SI-1 precursor [Mus musculus],best_score:5581.0,evalue:0.0,length:1176
gi:218505722,ref_number:NP_001136209.1,annotation: protocadherin-15 isoform CD1-6 precursor [Mus musculus],best_score:4682.0,evalue:0.0,length:1867
gi:153792706,ref_number:NP_899044.3,annotation: protocadherin Fat 4 precursor [Mus musculus] >gi,best_score:796.0,evalue:2.92821e-84,length:4981
gi:1039793347,ref_number:XP_017168887.1,annotation: PREDICTED: protocadherin Fat 3 isoform X2 [Mus musculus],best_score:736.0,evalue:3.1487e-77,length:4599
gi:755528853,ref_number:XP_011240844.1,annotation: PREDICTED: protocadherin Fat 3 isoform X5 [Mus musculus],best_score:735.0,evalue:3.98344e-77,length:4579
gi:755528856,ref_number:XP_011240845.1,annotation: PREDICTED: protocadherin Fat 3 isoform X1 [Mus musculus],best_score:735.0,evalue:4.49693e-77,length:4611
gi:124249105,ref_number:NP_001074283.1,annotation: protocadherin Fat 3 precursor [Mus musculus],best_score:735.0,evalue:4.66655e-77,length:4551
gi:755528850,ref_number:XP_011240843.1,annotation: PREDICTED: protocadherin Fat 3 isoform X3 [Mus musculus],best_score:734.0,evalue:5.01104e-77,length:4591
gi:568959586,ref_number:XP_006510436.1,annotation: PREDICTED: protocadherin Fat 3 isoform X6 [Mus musculus],best_score:734.0,evalue:5.21145e-77,length:4556
gi:568959584,ref_number:XP_006510435.1,annotation: PREDICTED: protocadherin Fat 3 isoform X4 [Mus musculus],best_score:732.0,evalue:9.05765e-77,length:4588
gi:755528858,ref_number:XP_011240846.1,annotation: PREDICTED: protocadherin Fat 3 isoform X7 [Mus musculus],best_score:729.0,evalue:2.07274e-76,length:4145
gi:1039732893,ref_number:XP_017169419.1,annotation: PREDICTED: cadherin-23 isoform X4 [Mus musculus],best_score:714.0,evalue:9.97728e-75,length:3361
gi:358001060,ref_number:NP_001239564.1,annotation: cadherin-23 isoform 2 precursor [Mus musculus],best_score:713.0,evalue:1.3509e-74,length:3352
gi:124517680,ref_number:NP_075859.2,annotation: cadherin-23 isoform 1 precursor [Mus musculus],best_score:713.0,evalue:1.48326e-74,length:3354
gi:1039732888,ref_number:XP_017169417.1,annotation: PREDICTED: cadherin-23 isoform X2 [Mus musculus],best_score:712.0,evalue:1.61994e-74,length:3283
